Open;High;Low;Close;Volume;;moneyFlowMultiplier;moneyFlowVolume;;;;
56.6800;56.8400;56.3700;56.5300;15243000;;-0.319149;-4864787.234042;12905279.123974;;;
56.6900;57.1500;56.5400;56.9300;12051100;;0.278689;3358503.278689;16263782.402663;;;
56.8500;56.9000;56.3500;56.4700;9623400;;-0.563636;-5424098.181818;10839684.220845;;;
56.3300;56.8300;54.9000;55.4000;17441200;;-0.481865;-8404308.808290;2435375.412554;;;
55.8400;56.8900;55.1600;55.3900;19020600;;-0.734104;-13963099.421965;-11527724.009411;;;
54.2200;54.3185;52.5800;53.2500;29021900;;-0.229221;-6652417.112453;-18180141.121864;;;
52.3900;52.5400;50.9400;51.3700;29931800;;-0.462500;-13843457.500000;-32023598.621864;;;
51.9500;52.7300;51.6000;52.6000;20708400;;0.769912;15943635.398230;-16079963.223634;;;
51.8300;52.4900;51.2100;52.3400;24128600;;0.765625;18473459.375000;2393496.151366;;;
52.7900;53.3600;52.5900;53.1600;26093500;;0.480519;12538435.064935;14931931.216301;;;
52.7800;52.8650;52.0400;52.4300;17425000;;-0.054545;-950454.545455;13981476.670847;;;
52.2700;52.3550;51.3400;51.5400;16388300;;-0.605911;-9929856.650246;4051620.020600;;;
51.4700;53.0720;51.2000;52.7200;21499500;;0.623932;13414217.948718;17465837.969318;;;
52.1200;52.1200;50.1300;50.6100;28688100;;-0.517588;-14848614.572864;2617223.396454;;;
47.3600;47.9400;46.0000;46.2500;61129100;;-0.742268;-45374177.319588;-42756953.923134;;;
46.4200;47.3600;46.4000;46.9600;24471800;;0.166667;4078633.333333;-38678320.589801;;;
47.9000;48.6000;47.4900;48.5000;26384800;;0.819820;21630781.981982;-17047538.607819;;;
48.5400;48.5900;47.9200;47.9300;18201600;;-0.970149;-17658268.656717;-34705807.264535;;;
48.5000;48.9300;48.3600;48.7700;18365400;;0.438596;8055000.000000;-26650807.264535;;;
49.2400;49.3300;47.9400;48.1800;21515100;;-0.654676;-14085425.179856;-40736232.444391;;;
47.9000;48.5200;46.4300;46.6100;25871100;;-0.827751;-21414833.971292;-62151066.415683;;;
47.0500;47.2700;46.6700;47.1000;14820100;;0.433333;6422043.333333;-55729023.082350;;;
47.5400;47.6500;46.6900;46.7900;20859000;;-0.791667;-16513375.000000;-72242398.082350;;;
46.5300;46.9600;46.2400;46.8700;11187600;;0.750000;8390700.000000;-63851698.082350;;;
47.5900;47.9100;47.1100;47.2700;14733400;;-0.600000;-8840040.000000;-72691738.082350;;;
47.5200;47.5700;46.5500;46.8100;19248400;;-0.490196;-9435490.196078;-82127228.278428;;;
46.6300;46.9700;46.2000;46.5000;17009400;;-0.220779;-3755322.077922;-85882550.356350;;;
47.0200;47.4100;46.8900;47.3200;13691300;;0.653846;8952003.846154;-76930546.510196;;;
48.0200;48.7100;47.7800;48.4200;18434200;;0.376344;6937602.150538;-69992944.359658;;;
48.6500;48.9900;48.2700;48.8400;17939100;;0.583333;10464475.000000;-59528469.359658;;;
48.9700;49.0100;48.4600;48.5800;21175100;;-0.563636;-11935056.363637;-71463525.723295;;;
48.5700;49.3500;47.9500;49.2100;16119200;;0.800000;12895360.000000;-58568165.723295;;;
49.9500;50.0700;49.3300;50.0300;18656000;;0.891892;16639135.135135;-41929030.588160;;;
50.2800;50.3000;49.4100;49.9300;16546700;;0.168539;2788769.662921;-39140260.925238;;;
50.0100;50.2200;49.7600;50.0300;15867800;;0.173913;2759617.391305;-36380643.533934;;;
49.8000;50.1800;49.7900;49.9600;13025600;;-0.128205;-1669948.717949;-38050592.251882;;;
49.9800;50.0200;49.1800;49.4100;16070600;;-0.452381;-7270033.333333;-45320625.585216;;;
49.4700;49.7400;48.7800;49.3400;12563800;;0.166667;2093966.666667;-43226658.918549;;;
49.3500;49.9200;49.0400;49.1900;15349400;;-0.659091;-10116650.000000;-53343308.918549;;;
49.2900;49.8700;48.8700;49.6000;48301300;;0.460000;22218598.000000;-31124710.918549;;;
49.6600;49.7500;49.2800;49.4200;16450000;;-0.404255;-6650000.000000;-37774710.918549;;;
49.7500;50.2000;48.9300;49.1200;26717200;;-0.700787;-18723077.165355;-56497788.083903;;;
49.0500;49.7700;48.5800;49.6100;14013500;;0.731092;10245163.865546;-46252624.218357;;;
49.4300;49.4900;48.2600;48.8300;20172900;;-0.073171;-1476065.853659;-47728690.072016;;;
49.0000;49.4700;48.6000;48.8400;16065300;;-0.448276;-7201686.206896;-54930376.278912;;;
48.9500;49.6600;48.9500;49.4100;14903600;;0.295775;4408107.042253;-50522269.236659;;;
49.6500;49.8700;47.3600;47.7400;24185600;;-0.697211;-16862470.119522;-67384739.356180;;;
47.3500;47.3800;46.0100;46.5600;30722400;;-0.197080;-6054779.562044;-73439518.918224;;;
46.3200;47.0800;45.7000;47.0600;15915500;;0.971014;15454181.159420;-57985337.758804;;;
47.2500;47.6300;46.9500;47.5200;16718800;;0.676471;11309776.470588;-46675561.288216;;;
47.4700;48.1300;47.3200;47.7700;14625200;;0.111111;1625022.222222;-45050539.065993;;;
47.5000;47.5400;46.3500;46.3900;23022400;;-0.932773;-21474675.630252;-66525214.696245;;;
46.9200;47.1700;46.6600;46.8400;16768600;;-0.294118;-4931941.176470;-71457155.872716;;;
46.0500;46.2300;45.5500;46.1500;24698500;;0.764706;18887088.235294;-52570067.637421;;;
46.6700;47.3000;46.4600;46.5600;25153600;;-0.761905;-19164647.619048;-71734715.256469;;;
46.5500;46.5500;46.0000;46.0500;15076900;;-0.818182;-12335645.454546;-84070360.711015;;;
46.2500;46.5800;46.0350;46.3600;17008970;;0.192661;3276957.522936;-80793403.188079;;;
